ProductName,Listing Price,Sale Price,Discount,Brand (Adidas=1 Nike=2),Rating,Reviews
2 Nike React Metcon,2799,12995,0,2,3.9,10
2 Nike Classic Cortez,2799,6595,0,2,4.2,5
2 Jordan Why Not?' Zer0.2 SE,2799,11995,0,2,0,0
2 Nike Tiempo Legend 8 Club TF,2799,4495,0,2,0,0
2 Nike Phantom Vision 2 Academy Dynamic Fit TF,2799,8495,0,2,0,0
2 Nike Zoom Fly Flyknit,2799,15995,0,2,4.2,42
2 Nike Air Max 98 SE,2799,15995,0,2,0,0
2 Nike x Hawkins High Cortez,2799,9995,0,2,5,1
2 NikeCourt Air Max Vapor Wing MS,2799,6495,0,2,3.5,2
2 LeBron x John Elliott Icon,2799,19995,0,2,4.8,6
2 Nike Air Max 270 Flyknit,2799,15995,0,2,4.4,10
2 Air Jordan 13 Retro Chinese New Year,2799,19995,0,2,5,1
2 Nike Air Force 1 Type-2,2799,11995,0,2,0,0
2 Nike SB Air Max Stefan Janoski 2,2799,9995,0,2,2.6,11
2 Nike Flex TR 9,2799,5495,0,2,2.9,8
2 Nike SB Air Zoom Bruin Edge,2799,7995,0,2,5,1
2 Nike x Undercover React Presto,2799,15995,0,2,5,1
2 Nike Canyon,2799,5995,0,2,0,0
2 Nike Flex RN 2019,2799,6995,0,2,3.8,6
2 Nike Air Max Dia Winter,2799,10995,0,2,4.4,5
2 Nike Mercurial Superfly 7 Elite SE FG,2799,22995,0,2,0,0
2 Nike SB Shane,2799,6495,0,2,4.7,3
2 Air Jordan 1 Mid,2799,9995,0,2,0,0
2 Nike Phantom Vision 2 Academy Dynamic Fit MG,2799,8495,0,2,0,0
2 Kyrie 6 EP,2799,10995,0,2,0,0
2 Nike Potential 3,2799,4495,0,2,5,1
2 Nike Air Huarache,2799,8995,0,2,4.5,63
2 KD Trey 5 VII EP,2799,7995,0,2,0,0
2 Nike Phantom Venom Academy FG,2995,7495,0,2,2.8,5
2 Nike Mercurial Superfly 7 Club MG,2995,5995,0,2,0,0
2 Nike Phantom Venom Academy TF,2999,7495,0,2,5,1
2 Nike Tiempo Legend 8 Elite FG,2999,20995,0,2,3.1,7
2 Nike SB Zoom Stefan Janoski Canvas RM,2999,6995,0,2,3.4,5
2 Jordan Why Not?' Zer0.2 SE PF,2999,10995,0,2,3,2
2 Nike Shox TL Nova SP,2999,14995,0,2,5,1
2 Nike Phantom Vision 2 Club Dynamic Fit MG,2999,5995,0,2,0,0
2 Nike x Olivia Kim Air Force 1 07,2999,9995,0,2,5,1
2 Nike Daybreak,2999,9995,0,2,0,0
2 Nike Mercurial Superfly 7 Elite FG,2999,22995,0,2,4.3,8
2 Nike Air Max 90 Essential,2999,8995,0,2,4,9
2 Nike Air Max Triax 96 SP,2999,12995,0,2,4,1
2 Nike Offcourt SE,2999,2995,0,2,0,0
2 Nike Air Max 720 SE,2999,15995,0,2,3,1
2 Nike Revolution 5 FlyEase,2999,3695,0,2,4.5,6
2 Nike Air Max 270,2999,13995,0,2,3.9,63
2 Nike SFB Gen 2 20cm (approx.),2999,13995,0,2,3.8,15
2 Nike Air Max Dia,2999,8995,0,2,5,3
2 Nike SB Alleyoop,2999,6495,0,2,0,0
2 Nike Air Max Bella TR 2,2999,6495,0,2,4.3,12
2 Nike Air Force 1 SP,2999,12995,0,2,4.7,3
2 Nike Zoom Pegasus Turbo,2999,15995,0,2,3.6,20
2 NikeCourt Air Zoom Vapor Cage 4,2999,12995,0,2,4.7,3
2 Air Jordan 1 Nova XX,2999,10495,0,2,5,1
2 Nike Mercurial Superfly 7 Club TF,2999,5995,0,2,0,0
2 Nike Air Max Impact,2999,7995,0,2,5,1
2 Nike Air Max 90 Premium,2999,11995,0,2,5,2
2 Nike Air Max 270 Special Edition,2999,14995,0,2,5,1
2 Nike Air Force 1 Sage Low,2999,8995,0,2,4.5,36
2 Nike Air Max Triax 96,2999,10995,0,2,5,2
2 Nike Air VaporMax Flyknit 2 LXX,2999,36500,0,2,0,0
2 Air Jordan 1 Jester XX Low Laced,2999,7995,0,2,5,2
2 Nike Metcon 5 Premium,2999,11995,0,2,0,0
2 Nike Air Max 270 React SE,2999,13995,0,2,0,0
2 Nike Metcon 4 XD Patch,2999,11995,0,2,0,0
2 Nike ZoomX Vista Grind SP,2999,14995,0,2,5,1
2 Nike Drop-Type,2999,5995,0,2,4,1
2 Nike Legend React,2999,8795,0,2,2.7,19
2 NikeCourt Air Max Wildcard,2999,7995,0,2,4.5,2
1 Womens adidas Swim Puka Slippers,3299,599,40,1,2.6,37
1 Womens adidas Swim Jung Slippers,3299,499,50,1,3.2,20
1 Mens adidas Toe Side II Slippers,1299,779,40,1,1.5,59
1 Mens adidas Swim Ozor III Slippers,1299,779,40,1,2.2,46
1 Mens adidas Swim Stabile Slippers,1299,779,40,1,2.7,14
1 Womens adidas Swim Ozor III Slippers,1299,779,40,1,3.5,35
1 Womens adidas Swim Eezay Slippers,1299,649,50,1,5,60
1 Mens adidas Swim Gadi Slippers,1499,749,50,1,3.7,9
1 Mens adidas Swim Bise Slippers,1499,749,50,1,2.6,24
1 Mens adidas Swim Salon Slippers,1499,899,40,1,2.4,83
1 Womens adidas Swimming Eezay 2019 Slippers,1499,749,50,1,3,25
1 Mens adidas Swim Gladi 19 Slippers,1599,959,40,1,3.8,8
1 MENS ADIDAS ESSENTIALS EEZAY FLIP-FLOPS,1999,999,50,1,0,67
1 Womens adidas Sport Inspired Glenn W Shoes,2499,1749,30,1,4.8,41
1 Mens adidas Sport Inspired Drogo Shoes,2699,1349,50,1,3.5,89
1 Womens adidas Sport Inspired Drogo Shoes,2699,2159,20,1,2.8,49
1 Mens adidas Outdoor Elevate Sandals,2799,1399,50,1,2.8,14
1 Mens adidas Outdoor Hoist 2019 Sandals,2799,1679,40,1,1.5,47
1 Mens adidas Outdoor Elevate 2018 Sandals,2799,1399,50,1,3.3,70
2 Nike Benassi JDI SE,2995,2097,0,2,0,0
2 Nike Benassi JDI Floral,2995,2397,0,2,4.1,8
1 Womens adidas Running Hyperon 1.0 Shoes,2999,2399,20,1,2.7,37
1 Mens Outdoor Ediffin II Sandals,2999,2999,0,1,3.4,91
1 MENS ADIDAS SWIM ADILETTE CLOUDFOAM PLUS LOGO SLIDES,2999,2999,0,1,4.7,51
1 WOMENS ADIDAS SWIM CLOUDFOAM FLIP FLOPS,3299,1649,50,1,2.7,62
1 Womens adidas Running Hellion Z Shoes,3299,1979,40,1,2.7,46
1 Womens adidas Sport Inspired Yking 2.0 Shoes,3299,1979,40,1,2.2,86
1 Womens Sport Inspired Yking 2.0 Shoes,3299,1979,40,1,2,11
1 Mens adidas Outdoor Terra Light Sandals,3599,2159,40,1,2.4,41
1 Womens adidas Running Cyberg 1.0 Shoes,3599,2159,40,1,4.7,53
1 Mens adidas Running Rush Shoes,3599,1799,50,1,2.5,22
1 Womens adidas Sport Inspired Videll Shoes,3799,2279,40,1,3.9,13
2 NikeCourt Royale SL,3995,3197,0,2,0,0
1 Womens adidas Sport Inspired Quickspike Shoes,3999,1999,50,1,3.1,8
1 Womens adidas Sport Inspired Lite Racer 2.0 Shoes,3999,3999,0,1,2.9,51
1 Mens adidas Sport Inspired Quickspike Shoes,3999,1999,50,1,3.8,64
1 Mens adidas Running Supervega Shoes,3999,2399,40,1,1,68
1 Womens adidas Sport Inspired Lite Racer Slip-Ons,3999,2399,40,1,4.7,45
1 Mens adidas Running Dracon Shoes,3999,1999,50,1,4.1,70
1 Womens adidas Sport Inspired Lite Racer Shoes,4299,2149,50,1,3.8,67
1 Womens adidas Sport Inspired Arcadeis Shoes,4299,2149,50,1,3.7,43
1 Mens adidas Sports Inspired Lite Racer Shoes,4299,2149,50,1,1.5,6
1 Mens adidas Running Sedna Shoes,4299,2149,50,1,1,48
1 Mens adidas Running Kyris 4.0 Shoes,4299,2149,50,1,4.6,15
1 Mens adidas Sport Inspired Factor Shoes,4299,2149,50,1,4.4,23
1 Womens adidas Sport Inspired Yatra Shoes,4299,2579,40,1,3.5,30
1 Mens adidas Running Erdiga 3.0 Shoes,4299,2149,50,1,3.2,73
1 Womens adidas Running Bolter Shoes,4299,2149,50,1,2,24
2 Nike Tiempo Legend 8 Club IC,4495,3147,0,2,2,1
2 NikeCourt Royale,4495,3597,0,2,1.5,2
2 NikeCourt Royale AC,4495,3147,0,2,5,1
1 Womens adidas Sport Inspired Storm Runner Shoes,4599,2299,50,1,1,16
1 Womens adidas Sport Inspired Lite Racer CLN Shoes,4599,2759,40,1,4.1,35
1 Mens adidas Sport Inspired Kalus 1.0 Shoes,4599,2299,50,1,3,28
1 mens ADIDAS RUNNING NEBULAR 1.0 SHOES,4599,2299,50,1,4.3,64
1 MENS ADIDAS RUNNING HELKIN 3.0 SHOES,4599,2299,50,1,4,87
1 Mens adidas Outdoor Andorian Shoes,4599,2299,50,1,0,49
1 Mens adidas Running Stargon 1.0 Shoes,4599,2299,50,1,4.2,98
1 Mens adidas Sport Inspired Lyrid Slip-ons,4599,2299,50,1,3.8,90
1 Mens adidas Running Kalus 1.0 Shoes,4599,2299,50,1,3.8,77
1 Womens adidas Sport Inspired QT Racer Shoes,4599,2759,40,1,4.2,9
1 Mens adidas Sport Inspired Zeta 2.0 Shoes,4599,2299,50,1,2.9,58
1 Mens adidas Running Helkin 3 Shoes,4599,2299,50,1,4.1,94
1 MENS ADIDAS RUNNING KIVARO 1.0 SHOES,4599,2299,50,1,2.5,7
1 Mens adidas Running Kyris 1.0 Shoes,4599,2299,50,1,3.9,26
1 Mens adidas Sport Inspired Arcadeis Shoes,4599,2299,50,1,4.9,85
1 Mens adidas Sport Inspired Kaptur Shoes,4599,2299,50,1,3.8,12
1 Womens adidas Sport Inspired VS Advantage Clean Shoes,4599,2299,50,1,4.1,26
2 Nike Tanjun,4795,3357,0,2,4.2,25
1 Womens adidas Sport Inspired Duramo Lite 2.0 Shoes,4799,1920,60,1,1,45
1 Mens adidas Running Torik Shoes,4799,2399,50,1,4.4,17
1 MENS adidas RUNNING YAMO 1.0 SHOES,4799,2399,50,1,4.3,8
1 Mens adidas Running Kollide Shoes,4799,2399,50,1,5,54
1 Mens adidas Running Grito Shoes,4799,2399,50,1,3.5,79
